No,カテゴリ,画面・ページ,報告内容,期待する動作,優先度,報告者,報告日,対応ステータス,対応メモ
1,バグ,モジュール一覧,カテゴリのフィルターを切り替えると一瞬全モジュールが表示されてからフィルター結果に切り替わる,フィルター切り替え時にちらつきなく即座に結果が表示される,中,（サンプル）,2026/04/03,未着手,
2,UI・UX,モジュール詳細,スライド表示エリアの横幅がPC画面で狭く余白が大きい。もう少し広く使いたい,スライドエリアが画面幅に対して適切なサイズで表示される,中,（サンプル）,2026/04/03,未着手,
3,コンテンツ,GA4カテゴリ > イベント設計,「推奨イベント」と「カスタムイベント」の違いの説明が途中で切れている,両者の違いと使い分けが最後まで説明されている,高,（サンプル）,2026/04/03,未着手,
4,UI・UX,全ページ,パンくずリストをリンクにしたほうがいいかも,一覧画面に戻りにくいUIなのでパンくずリストあったほうがページ回遊しやすいかもです,中,佐々木,2026/04/03,完了,カリキュラムマップ・カテゴリ詳細・レッスン画面の全ページにパンくずリスト（ダッシュボード/カリキュラム/カテゴリ/モジュール）を追加。レッスン画面トップバーにもリンク付きパンくず表示。
5,コンテンツ,イントロ,改行が少なく見出し・小見出し・本文が連なって読みづらい,見出し・小見出し・本文が改行されている,中,手塚,2026/04/03,完了,SlideContentのMarkdownレンダリングで見出し(h1/h2/h3)前後のマージンを拡大（mb-6→mb-8、mt-6→mt-8等）。段落の行間をleading-[2.0]に拡大し段落間マージンもmb-5に増加。リスト・blockquoteの間隔も統一調整。
6,UI・UX,モジュール完了,次のモジュールに遷移するのがめんどくさい,次のモジュールへの遷移ボタンがあるとよい,中,岡野,2026/04/03,完了,まとめセクションに「次のモジュールへ: {モジュール名}」ボタンを追加。最終モジュールの場合は「カテゴリ一覧に戻る」ボタンを表示。
7,UI・UX,用語解説,知りたいときに知りたい。常に表示されているので気になる,用語はテキストリンクにするとよさそう,中,岡野,2026/04/03,完了,常時表示の2カラムサイドバーを廃止。「用語解説を見る (N件)」トグルボタンによる折りたたみ式パネルに変更。
8,バグ,スキルマップ,カリキュラムを何もしていない状態のときに表示されなかった。リロードしたらなおった,スキルマップがデフォルトで表示される,高,岡野,2026/04/03,完了,completedCount > 0 の表示条件を削除。未学習状態（全カテゴリ0%）でもスキルマップを常時表示するよう修正。
9,UI・UX,問題ページ,ウィンドウの大きさ・ズーム％次第では「次へ」ボタンが見えなくて一瞬混乱,どのウィンドウで開いてもちゃんと見れるようにする,低,石川,2026/04/03,完了,QuizSectionの問題画面・結果画面の両コンテナにoverflow-y-autoを追加。解説が長い場合やズーム拡大時もスクロールでボタンに到達可能に。
10,UI・UX,全ページ,モジュールはいかがでしたか？の内容に違和感（★5で簡単すぎた、★3でちょうどいい）,星の数と文言が合うようにした方が評価しやすそう,低,矢野,2026/04/03,完了,難易度ベースの評価ラベルを満足度ベースに変更。★1=不満 ★2=やや不満 ★3=ふつう ★4=良かった ★5=とても良かった。
11,コンテンツ,獲得XP,獲得EXPとはなにか？これ溜まったらどんなメリットがあるの？,疑問を解決するコンテンツ,中,岡野,2026/04/03,未着手,
12,バグ,獲得XP,1カリキュラムクリア後の経験値についてダッシュボード上でリロードしないと反映されない,経験値の読み込み・描画を同期させる。一度プレイしたカリキュラムでは経験値追加の処理は発生しないようにする,低,手塚,2026/04/03,完了,progress/complete・progress/quiz両APIにrevalidatePath追加。モジュール完了・クイズ回答後にダッシュボードのServer Componentが再生成されリロード不要でXP・レベル等が反映される。
13,UI・UX,モジュール詳細／セクション,セクションを移動しただけでチェックがついてしまう。まだ終わらせてないのに...,セクションを理解したかどうかがよさそう,中,岡野,2026/04/03,完了,サイドバーのセクションクリック時のmarkSectionVisited呼び出しを削除。「次へ」ボタン（goNext）で進んだ場合のみ完了チェックが付くよう修正。
14,バグ？,PM,演習のHTML出てこない,,,石川,2026/04/03,未着手,
15,UI・UX,AIチャット,一度閉じて再表示させると質問事項が消える,情報が保存される,,手塚,2026/04/03,未着手,
16,バグ(?),全ページ,クイズに答えなくても飛ばして完了にできてしまう,全て実施しないと完了にできない仕様にする,高,矢野,2026/04/03,完了,completedQuizSectionsステートを追加しクイズセクションでは回答完了（onQuizComplete発火）するまで「次へ」ボタンをブロック。クイズ結果画面の「次のセクションへ」ボタン経由でのみ進行可能。
17,UI・UX,AIチャット,AIチャットを開くと次のセクションに移動できない（左側のバーからしか移動できない？）,AIチャットが表示されたらメインコンテンツ部分の領域を狭める,中,,2026/04/03,未着手,
18,コンテンツ,モジュール10-2演習,「以下のHTMLテンプレートを使い3C分析の各項目を埋め最後にKSFを記述してください。」のしたにHTMLテンプレートがない,HTMLテンプレートを追加,中,岡野,2026/04/03,未着手,
19,UI・UX,モジュール一覧,完了したモジュールかどうかわからない,バッジなどを追加,中,岡野,2026/04/03,完了,カテゴリ詳細ページをasync化しFirestoreから進捗取得。完了モジュールに緑枠・✓マーク・「完了」バッジを表示。カテゴリ上部に完了数/全体の進捗バーと全完了時の🏆トロフィー表示を追加。
20,UI・UX,AIチャット,「ＡＩに質問する」ボタンと実際に表示されるウィンドウの位置がかけ離れている,当該ボタンを右下に移動させる,低,手塚,2026/04/03,未着手,
21,UI・UX,クイズ,クイズに回答した後に表示される「次の問題→」ボタンが見切れている。押せなくなってしまう場合もありそう。,見切れ解消,低,矢野,2026/04/03,完了,#9と同一原因。QuizSectionコンテナにoverflow-y-auto追加で解説表示後もスクロールしてボタンに到達可能。
22,コンテンツ,モジュール5-1,GAの基礎概念→唐突にBQの説明→UAとの違いというコンテンツ順に違和感がある,BQのエクスポートの説明は別のセクションの方が望ましい,高,手塚,2026/04/03,未着手,
23,コンテンツ,モジュール10-3 完了,完了説明が改行されておらず読みにくい,改行する,低,岡野,2026/04/03,未着手,
24,コンテンツ,各モジュール,答えを見るボタンが簡単に出るのが良くない,答えを見るボタンに何かしら制限をかけたほうがいいかもです,低,佐々木,2026/04/03,未着手,
25,コンテンツ,カリキュラム,HTML・CSS・JavaScriptなどをまとめてエンジニア（デザイナー）基礎テストなどのコンテンツが欲しい。獲得XPも多めに。,,中,岡野,2026/04/03,未着手,
26,コンテンツ,各モジュール,クイズ全問正解だった場合,おまけに5ptほしい,低,佐々木,2026/04/03,未着手,
27,コンテンツ,モジュール5-1 演習,説明なしでdataLayerの手打ちを求められる,別のモジュールに演習を移行,高,手塚,2026/04/03,未着手,
28,UI・UX,ホーム,「カリキュラムマップを見る」が下部にあるのですぐに遷移できない。FVで見えない。ホームは何回も見るので。,「カリキュラムマップを見る」を上部に設置,中,岡野,2026/04/03,完了,CTAボタン（カリキュラムマップを見る＋チーム学習状況）をページ最下部からウェルカムメッセージ直下に移動。FV内で即アクセス可能に。
29,UI・UX,モジュール一覧画面,各モジュールの横にクリア済みマークがほしい,すでにクリアしたモジュールを一覧画面でマークされていたらわかりやすい,低,佐々木,2026/04/03,未着手,#19と同内容のため#19で対応済み
30,コンテンツ,モジュール5-1 演習,dataLayer実装を適当に実施・未入力でも「正解」扱いになる,明確な正解の型を用意する/dataLayerを使って実際に取得されたパラメータイメージを描画する,中,手塚,2026/04/03,未着手,
